sigla_uf,ano,valor_referencia,valor_sistema,delta,delta_pct
RJ,2024,30078178113.46,18680424982.739998,-11397753130.720001,-37.89
RJ,2023,30178571535.739998,25101095171.899998,-5077476363.84,-16.82
RJ,2021,22159298379.71,18029257753.64,-4130040626.0699997,-18.64
BA,2024,14564714775.83,12103032603.23,-2461682172.6000004,-16.9
SP,2020,11355000115.86,9113561181.78,-2241438934.08,-19.74
RJ,2020,16569370016.84,14366577302.96,-2202792713.880001,-13.29
MA,2024,10843222764.619999,9020827384.78,-1822395379.8399982,-16.81
PA,2024,10524943606.869999,8717233489.63,-1807710117.2399998,-17.18
CE,2024,10794347073.240002,8999993917.73,-1794353155.5100021,-16.62
PE,2024,10505245753.21,8753522869.92,-1751722883.289999,-16.67
RJ,2022,34278676918.21,32539288969.019997,-1739387949.1900024,-5.07
SP,2018,4549030542.28,6209692311.76,1660661769.4800005,36.51
MG,2024,9048356594.1,7471480320.24,-1576876273.8600006,-17.43
SP,2024,5621669447.24,4155159051.79,-1466510395.4499998,-26.09
SP,2022,9004963804.17,7676756921.44,-1328206882.7300005,-14.75
PB,2024,7100646253.1,5918597695.2699995,-1182048557.8300009,-16.65
MG,2020,8519896498.92,7341752529.82,-1178143969.1000004,-13.83
BA,2026,8490397751.37,7359694301.049999,-1130703450.3200006,-13.32
AL,2024,6624654739.059999,5505330648.84,-1119324090.2199993,-16.9
PI,2024,6493668224.71,5407733890.83,-1085934333.88,-16.72
RN,2024,6292766009.66,5210648056.43,-1082117953.2299995,-17.2
BA,2020,10051513687.83,9008590153.43,-1042923534.3999996,-10.38
SE,2024,6120815748.589999,5089870480.219999,-1030945268.3699999,-16.84
AM,2024,5602506148.36,4589721329.84,-1012784818.5199995,-18.08
ES,2024,4257314620.1400003,3248092254.39,-1009222365.7500005,-23.71
BA,2023,13207693624.52,12229453443.48,-978240181.0400009,-7.41
TO,2024,5869068688.9800005,4899058380.67,-970010308.3100004,-16.53
PR,2024,5502554474.7,4572145473.75,-930409000.9499998,-16.91
BA,2022,12448577673.710001,11520480376.28,-928097297.4300003,-7.46
AC,2024,5486523998.25,4563303632.24,-923220366.0100002,-16.83
AP,2024,5302361117.86,4412529325.349999,-889831792.5100002,-16.78
CE,2026,6475220506.67,5589435038.72,-885785467.9499998,-13.68
MA,2026,6390842513.7699995,5530171215.900001,-860671297.8699989,-13.47
PA,2026,6170952218.25,5320260649.87,-850691568.3800001,-13.79
RS,2023,4580711808.93,3734952628.9300003,-845759180.0,-18.46
BA,2021,10064023612.07,9221395913.89,-842627698.1800003,-8.37
PE,2026,6103736186.37,5267579490.94,-836156695.4300003,-13.7
GO,2024,4784756626.24,3961506660.6699996,-823249965.5700002,-17.21
SP,2021,5287211433.95,4508918706.19,-778292727.7600002,-14.72
